source	target	reference	reference_source
1642	GO:0160072	PMID:25970626	Gene Ontology (GO) - Experimental Evidence
1643	GO:0003684	PMID:22334663	Gene Ontology (GO) - Experimental Evidence
1643	GO:0004842	PMID:12732143	Gene Ontology (GO) - Experimental Evidence
1727	GO:0050421	PMID:24500710	Gene Ontology (GO) - Experimental Evidence
1736	GO:0003720	PMID:23685356	Gene Ontology (GO) - Experimental Evidence
1778	GO:0008569	PMID:21723285	Gene Ontology (GO) - Experimental Evidence
1793	GO:0005085	PMID:12134158	Gene Ontology (GO) - Experimental Evidence
1870	GO:0000977	PMID:7739537	Gene Ontology (GO) - Experimental Evidence
1870	GO:0001228	PMID:7739537	Gene Ontology (GO) - Experimental Evidence
1871	GO:0000977	PMID:7739537	Gene Ontology (GO) - Experimental Evidence
1871	GO:0001228	PMID:7739537	Gene Ontology (GO) - Experimental Evidence
1876	GO:0000977	PMID:9501179	Gene Ontology (GO) - Experimental Evidence
1876	GO:0001227	PMID:9501179	Gene Ontology (GO) - Experimental Evidence
1956	GO:0005006	PMID:12828935	Gene Ontology (GO) - Experimental Evidence
1967	GO:0003743	PMID:16289705	Gene Ontology (GO) - Experimental Evidence
1967	GO:0005085	PMID:11323413	Gene Ontology (GO) - Experimental Evidence
2022	GO:0036122	PMID:9872992	Gene Ontology (GO) - Experimental Evidence
2022	GO:0050431	PMID:9872992	Gene Ontology (GO) - Experimental Evidence
2034	GO:0043565	PMID:9079689	Gene Ontology (GO) - Experimental Evidence
2064	GO:0019838	PMID:7514177	Gene Ontology (GO) - Experimental Evidence
2067	GO:0000014	PMID:7559382	Gene Ontology (GO) - Experimental Evidence
2067	GO:0003677	PMID:14734547	Gene Ontology (GO) - Experimental Evidence
2067	GO:1990599	PMID:14690602	Gene Ontology (GO) - Experimental Evidence
2072	GO:0003677	PMID:14734547	Gene Ontology (GO) - Experimental Evidence
2072	GO:0004520	PMID:8797827	Gene Ontology (GO) - Experimental Evidence
2072	GO:1990599	PMID:14690602	Gene Ontology (GO) - Experimental Evidence
2131	GO:0050508	PMID:36593275	Gene Ontology (GO) - Experimental Evidence
2132	GO:0008375	PMID:12907669	Gene Ontology (GO) - Experimental Evidence
2132	GO:0050509	PMID:36593275	Gene Ontology (GO) - Experimental Evidence
