source	target	reference	reference_source
1311	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
1404	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
1452	GO:0045095	PMID:23902688	Gene Ontology (GO) - Experimental Evidence
1460	GO:0005886	PMID:19233263	Gene Ontology (GO) - Experimental Evidence
1462	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
1490	GO:0031012	PMID:28327460	Gene Ontology (GO) - Experimental Evidence
1508	GO:0031012	PMID:28327460	Gene Ontology (GO) - Experimental Evidence
1509	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
1511	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
1540	GO:0005881	PMID:17495026	Gene Ontology (GO) - Experimental Evidence
1540	GO:0009898	PMID:20194890	Gene Ontology (GO) - Experimental Evidence
1540	GO:0030496	PMID:17495026	Gene Ontology (GO) - Experimental Evidence
1605	GO:0005925	PMID:18341635	Gene Ontology (GO) - Experimental Evidence
1610	GO:0005741	PMID:21679769	Gene Ontology (GO) - Experimental Evidence
1634	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
1639	GO:0005938	PMID:23509069	Gene Ontology (GO) - Experimental Evidence
1663	GO:0005634	PMID:17189189	Gene Ontology (GO) - Experimental Evidence
1667	GO:0005576	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
1805	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
1808	GO:0005874	PMID:20801876	Gene Ontology (GO) - Experimental Evidence
1808	GO:0016020	PMID:20801876	Gene Ontology (GO) - Experimental Evidence
1828	GO:0005911	PMID:7983064	Gene Ontology (GO) - Experimental Evidence
1859	GO:0005856	PMID:24327345	Gene Ontology (GO) - Experimental Evidence
1859	GO:0005874	PMID:24327345	Gene Ontology (GO) - Experimental Evidence
1859	GO:0005883	PMID:24327345	Gene Ontology (GO) - Experimental Evidence
1859	GO:0005884	PMID:24327345	Gene Ontology (GO) - Experimental Evidence
1902	GO:0030139	PMID:19306925	Gene Ontology (GO) - Experimental Evidence
1933	GO:0005783	PMID:8743958	Gene Ontology (GO) - Experimental Evidence
1936	GO:0005783	PMID:8743958	Gene Ontology (GO) - Experimental Evidence
1937	GO:0005783	PMID:8743958	Gene Ontology (GO) - Experimental Evidence
1956	GO:0005768	PMID:16554368	Gene Ontology (GO) - Experimental Evidence
2009	GO:0015630	PMID:24859200	Gene Ontology (GO) - Experimental Evidence
2010	GO:0005635	PMID:21610090	Gene Ontology (GO) - Experimental Evidence
2010	GO:0031616	PMID:19494128	Gene Ontology (GO) - Experimental Evidence
2010	GO:0032541	PMID:19494128	Gene Ontology (GO) - Experimental Evidence
2017	GO:0005884	PMID:12151401	Gene Ontology (GO) - Experimental Evidence
2147	GO:0009897	PMID:20421939	Gene Ontology (GO) - Experimental Evidence
