id	name	node_type
GO:0005216	monoatomic ion channel activity	Phenotype
GO:0046209	nitric oxide metabolic process	Phenotype
GO:0032310	prostaglandin secretion	Phenotype
GO:0008361	regulation of cell size	Phenotype
GO:0090559	regulation of membrane permeability	Phenotype
GO:0070633	transepithelial transport	Phenotype
GO:0015840	urea transport	Phenotype
GO:0098869	cellular oxidant detoxification	Phenotype
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	Phenotype
GO:0014902	myotube differentiation	Phenotype
GO:0019216	regulation of lipid metabolic process	Phenotype
GO:0008152	metabolic process	Phenotype
GO:0031323	regulation of cellular metabolic process	Phenotype
GO:0008209	androgen metabolic process	Phenotype
GO:0030521	androgen receptor signaling pathway	Phenotype
GO:2000835	negative regulation of androgen secretion	Phenotype
GO:0006694	steroid biosynthetic process	Phenotype
GO:0071240	cellular response to food	Phenotype
GO:0001774	microglial cell activation	Phenotype
GO:0016049	cell growth	Phenotype
GO:0010424	DNA methylation on cytosine within a CG sequence	Phenotype
GO:0030187	melatonin biosynthetic process	Phenotype
GO:0007283	spermatogenesis	Phenotype
GO:1900745	positive regulation of p38MAPK cascade	Phenotype
GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	Phenotype
GO:0001508	action potential	Phenotype
GO:0030263	apoptotic chromosome condensation	Phenotype
GO:0097449	astrocyte projection	Phenotype
GO:0070997	neuron death	Phenotype
GO:0008217	regulation of blood pressure	Phenotype
GO:0006641	triglyceride metabolic process	Phenotype
GO:0070509	calcium ion import	Phenotype
GO:0098659	inorganic cation import across plasma membrane	Phenotype
GO:0007612	learning	Phenotype
GO:0071421	manganese ion transmembrane transport	Phenotype
GO:0007613	memory	Phenotype
GO:0010524	positive regulation of calcium ion transport into cytosol	Phenotype
GO:0007204	positive regulation of cytosolic calcium ion concentration	Phenotype
GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	Phenotype
GO:1901341	positive regulation of store-operated calcium channel activity	Phenotype
GO:1900447	regulation of cell morphogenesis involved in phenotypic switching	Phenotype
GO:0051480	regulation of cytosolic calcium ion concentration	Phenotype
GO:0048706	embryonic skeletal system development	Phenotype
GO:1903999	negative regulation of eating behavior	Phenotype
GO:0043931	ossification involved in bone maturation	Phenotype
GO:0001890	placenta development	Phenotype
GO:1901687	glutathione derivative biosynthetic process	Phenotype
GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	Phenotype
GO:0004457	lactate dehydrogenase activity	Phenotype
GO:0006914	autophagy	Phenotype
GO:0071257	cellular response to electrical stimulus	Phenotype
GO:0002032	desensitization of G protein-coupled receptor signaling pathway by arrestin	Phenotype
GO:0070374	positive regulation of ERK1 and ERK2 cascade	Phenotype
GO:1904022	positive regulation of G protein-coupled receptor internalization	Phenotype
GO:1900738	positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway	Phenotype
GO:0030154	cell differentiation	Phenotype
GO:2000146	negative regulation of cell motility	Phenotype
GO:0010716	negative regulation of extracellular matrix disassembly	Phenotype
GO:0030335	positive regulation of cell migration	Phenotype
GO:0007281	germ cell development	Phenotype
GO:0000226	microtubule cytoskeleton organization	Phenotype
GO:0001525	angiogenesis	Phenotype
GO:0006750	glutathione biosynthetic process	Phenotype
GO:0016042	lipid catabolic process	Phenotype
GO:0006776	vitamin A metabolic process	Phenotype
GO:0042360	vitamin E metabolic process	Phenotype
GO:0010171	body morphogenesis	Phenotype
GO:0060322	head development	Phenotype
GO:0040011	locomotion	Phenotype
GO:0098781	ncRNA transcription	Phenotype
GO:0060039	pericardium development	Phenotype
GO:0043473	pigmentation	Phenotype
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	Phenotype
GO:1903543	positive regulation of exosomal secretion	Phenotype
GO:0045540	regulation of cholesterol biosynthetic process	Phenotype
GO:0090119	vesicle-mediated cholesterol transport	Phenotype
GO:0009792	embryo development ending in birth or egg hatching	Phenotype
GO:0006703	estrogen biosynthetic process	Phenotype
GO:0044060	regulation of endocrine process	Phenotype
GO:0002027	regulation of heart rate	Phenotype
GO:2000224	regulation of testosterone biosynthetic process	Phenotype
GO:0007632	visual behavior	Phenotype
GO:0000086	G2/M transition of mitotic cell cycle	Phenotype
GO:0006979	response to oxidative stress	Phenotype
GO:0002763	positive regulation of myeloid leukocyte differentiation	Phenotype
GO:0006805	xenobiotic metabolic process	Phenotype
GO:2000318	positive regulation of T-helper 17 type immune response	Phenotype
GO:0070640	vitamin D3 metabolic process	Phenotype
GO:0090023	positive regulation of neutrophil chemotaxis	Phenotype
GO:0019233	sensory perception of pain	Phenotype
GO:2000987	positive regulation of behavioral fear response	Phenotype
GO:0008219	cell death	Phenotype
GO:0042445	hormone metabolic process	Phenotype
GO:1905037	autophagosome organization	Phenotype
GO:0019722	calcium-mediated signaling	Phenotype
GO:0007268	chemical synaptic transmission	Phenotype
GO:0035752	lysosomal lumen pH elevation	Phenotype
GO:0050850	positive regulation of calcium-mediated signaling	Phenotype
GO:0043306	positive regulation of mast cell degranulation	Phenotype
GO:2000379	positive regulation of reactive oxygen species metabolic process	Phenotype
GO:0097202	activation of cysteine-type endopeptidase activity	Phenotype
GO:0006702	androgen biosynthetic process	Phenotype
GO:0097352	autophagosome maturation	Phenotype
GO:0044295	axonal growth cone	Phenotype
GO:0030282	bone mineralization	Phenotype
GO:0006816	calcium ion transport	Phenotype
GO:0070836	caveola assembly	Phenotype
GO:0071481	cellular response to X-ray	Phenotype
GO:0006884	cell volume homeostasis	Phenotype
GO:1902476	chloride transmembrane transport	Phenotype
GO:0006695	cholesterol biosynthetic process	Phenotype
GO:0032469	endoplasmic reticulum calcium ion homeostasis	Phenotype
GO:0035937	estrogen secretion	Phenotype
GO:1990349	gap junction-mediated intercellular transport	Phenotype
GO:0051560	mitochondrial calcium ion homeostasis	Phenotype
GO:0051882	mitochondrial depolarization	Phenotype
GO:0043653	mitochondrial fragmentation involved in apoptotic process	Phenotype
GO:0005757	mitochondrial permeability transition pore complex	Phenotype
GO:0051646	mitochondrion localization	Phenotype
GO:0006811	monoatomic ion transport	Phenotype
GO:0061179	negative regulation of insulin secretion involved in cellular response to glucose stimulus	Phenotype
GO:0006809	nitric oxide biosynthetic process	Phenotype
GO:0070886	positive regulation of calcineurin-NFAT signaling cascade	Phenotype
GO:1905665	positive regulation of calcium ion import across plasma membrane	Phenotype
GO:1904879	positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel	Phenotype
GO:0045795	positive regulation of cell volume	Phenotype
GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	Phenotype
GO:0046330	positive regulation of JNK cascade	Phenotype
GO:0051561	positive regulation of mitochondrial calcium ion concentration	Phenotype
GO:0060545	positive regulation of necroptotic process	Phenotype
GO:0010940	positive regulation of necrotic cell death	Phenotype
GO:0045429	positive regulation of nitric oxide biosynthetic process	Phenotype
GO:0032516	positive regulation of phosphoprotein phosphatase activity	Phenotype
GO:1900020	positive regulation of protein kinase C activity	Phenotype
GO:1903532	positive regulation of secretion by cell	Phenotype
GO:0032930	positive regulation of superoxide anion generation	Phenotype
GO:2000845	positive regulation of testosterone secretion	Phenotype
GO:0006606	protein import into nucleus	Phenotype
GO:0051924	regulation of calcium ion transport	Phenotype
GO:0001836	release of cytochrome c from mitochondria	Phenotype
GO:0051208	sequestering of calcium ion	Phenotype
GO:0002115	store-operated calcium entry	Phenotype
GO:0046415	urate metabolic process	Phenotype
GO:0009060	aerobic respiration	Phenotype
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	Phenotype
GO:0042770	signal transduction in response to DNA damage	Phenotype
GO:0010759	positive regulation of macrophage chemotaxis	Phenotype
GO:2000439	positive regulation of monocyte extravasation	Phenotype
GO:0033864	positive regulation of NAD(P)H oxidase activity	Phenotype
GO:0010820	positive regulation of T cell chemotaxis	Phenotype
GO:0046186	acetaldehyde biosynthetic process	Phenotype
GO:0007589	body fluid secretion	Phenotype
GO:0015722	canalicular bile acid transport	Phenotype
GO:0002693	positive regulation of cellular extravasation	Phenotype
GO:0050729	positive regulation of inflammatory response	Phenotype
GO:0050714	positive regulation of protein secretion	Phenotype
GO:0042310	vasoconstriction	Phenotype
GO:1990051	activation of protein kinase C activity	Phenotype
GO:0046034	ATP metabolic process	Phenotype
GO:0030426	growth cone	Phenotype
GO:0031175	neuron projection development	Phenotype
GO:0046622	positive regulation of organ growth	Phenotype
GO:0032980	keratinocyte activation	Phenotype
GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress	Phenotype
GO:0061516	monocyte proliferation	Phenotype
GO:0002009	morphogenesis of an epithelium	Phenotype
GO:0040015	negative regulation of multicellular organism growth	Phenotype
GO:0046621	negative regulation of organ growth	Phenotype
GO:0042307	positive regulation of protein import into nucleus	Phenotype
GO:0060526	prostate glandular acinus morphogenesis	Phenotype
GO:0035936	testosterone secretion	Phenotype
GO:0070327	thyroid hormone transport	Phenotype
GO:0071407	cellular response to organic cyclic compound	Phenotype
GO:0007015	actin filament organization	Phenotype
GO:0071447	cellular response to hydroperoxide	Phenotype
GO:0051298	centrosome duplication	Phenotype
GO:0032964	collagen biosynthetic process	Phenotype
GO:0030199	collagen fibril organization	Phenotype
GO:0004111	creatine kinase activity	Phenotype
GO:0009448	gamma-aminobutyric acid metabolic process	Phenotype
GO:0004383	guanylate cyclase activity	Phenotype
GO:0031987	locomotion involved in locomotory behavior	Phenotype
GO:0007052	mitotic spindle organization	Phenotype
GO:2000573	positive regulation of DNA biosynthetic process	Phenotype
GO:0045727	positive regulation of translation	Phenotype
GO:0045907	positive regulation of vasoconstriction	Phenotype
GO:0036211	protein modification process	Phenotype
GO:0005391	P-type sodium:potassium-exchanging transporter activity	Phenotype
GO:2001057	reactive nitrogen species metabolic process	Phenotype
GO:1900407	regulation of cellular response to oxidative stress	Phenotype
GO:0042554	superoxide anion generation	Phenotype
GO:0036269	swimming behavior	Phenotype
GO:0022008	neurogenesis	Phenotype
GO:0036473	cell death in response to oxidative stress	Phenotype
GO:0031589	cell-substrate adhesion	Phenotype
GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H	Phenotype
GO:0015020	glucuronosyltransferase activity	Phenotype
GO:0004364	glutathione transferase activity	Phenotype
GO:0004407	histone deacetylase activity	Phenotype
GO:0043967	histone H4 acetylation	Phenotype
GO:0070701	mucus layer	Phenotype
GO:0070254	mucus secretion	Phenotype
GO:0070256	negative regulation of mucus secretion	Phenotype
GO:0051348	negative regulation of transferase activity	Phenotype
GO:0006592	ornithine biosynthetic process	Phenotype
GO:0045851	pH reduction	Phenotype
GO:0045919	positive regulation of cytolysis	Phenotype
GO:0097006	regulation of plasma lipoprotein particle levels	Phenotype
GO:0009636	response to toxic substance	Phenotype
GO:0055069	zinc ion homeostasis	Phenotype
GO:1990138	neuron projection extension	Phenotype
GO:0031324	negative regulation of cellular metabolic process	Phenotype
GO:1901671	positive regulation of superoxide dismutase activity	Phenotype
GO:0051027	DNA transport	Phenotype
GO:1905908	positive regulation of amyloid fibril formation	Phenotype
GO:0032461	positive regulation of protein oligomerization	Phenotype
GO:0033344	cholesterol efflux	Phenotype
GO:0046337	phosphatidylethanolamine metabolic process	Phenotype
GO:0035148	tube formation	Phenotype
GO:0046470	phosphatidylcholine metabolic process	Phenotype
GO:0001556	oocyte maturation	Phenotype
GO:0090494	dopamine uptake	Phenotype
GO:0097707	ferroptosis	Phenotype
GO:0019372	lipoxygenase pathway	Phenotype
GO:0072672	neutrophil extravasation	Phenotype
GO:0010613	positive regulation of cardiac muscle hypertrophy	Phenotype
GO:0050996	positive regulation of lipid catabolic process	Phenotype
GO:0008206	bile acid metabolic process	Phenotype
GO:0043651	linoleic acid metabolic process	Phenotype
GO:1904251	regulation of bile acid metabolic process	Phenotype
GO:0044547	DNA topoisomerase binding	Phenotype
GO:0006644	phospholipid metabolic process	Phenotype
GO:0042416	dopamine biosynthetic process	Phenotype
GO:0042420	dopamine catabolic process	Phenotype
GO:0006171	cAMP biosynthetic process	Phenotype
GO:0006935	chemotaxis	Phenotype
GO:2001025	positive regulation of response to drug	Phenotype
GO:0046620	regulation of organ growth	Phenotype
GO:0032307	negative regulation of prostaglandin secretion	Phenotype
GO:0006636	unsaturated fatty acid biosynthetic process	Phenotype
GO:0055089	fatty acid homeostasis	Phenotype
GO:1904393	regulation of skeletal muscle acetylcholine-gated channel clustering	Phenotype
GO:0006281	DNA repair	Phenotype
GO:0007340	acrosome reaction	Phenotype
GO:0003777	microtubule motor activity	Phenotype
GO:2000986	negative regulation of behavioral fear response	Phenotype
GO:0001659	temperature homeostasis	Phenotype
GO:0071482	cellular response to light stimulus	Phenotype
GO:0032502	developmental process	Phenotype
GO:0046960	sensitization	Phenotype
GO:0008203	cholesterol metabolic process	Phenotype
GO:0055064	chloride ion homeostasis	Phenotype
GO:0035815	positive regulation of renal sodium excretion	Phenotype
GO:0035810	positive regulation of urine volume	Phenotype
GO:0036359	renal potassium excretion	Phenotype
GO:0010887	negative regulation of cholesterol storage	Phenotype
GO:2000490	negative regulation of hepatic stellate cell activation	Phenotype
GO:0046329	negative regulation of JNK cascade	Phenotype
GO:0007588	excretion	Phenotype
GO:0005242	inward rectifier potassium channel activity	Phenotype
GO:0048699	generation of neurons	Phenotype
GO:0010693	negative regulation of alkaline phosphatase activity	Phenotype
GO:0010694	positive regulation of alkaline phosphatase activity	Phenotype
GO:0010825	positive regulation of centrosome duplication	Phenotype
GO:0010460	positive regulation of heart rate	Phenotype
GO:0008652	amino acid biosynthetic process	Phenotype
GO:0008207	C21-steroid hormone metabolic process	Phenotype
GO:0005975	carbohydrate metabolic process	Phenotype
GO:0006338	chromatin remodeling	Phenotype
GO:0004129	cytochrome-c oxidase activity	Phenotype
GO:0019858	cytosine metabolic process	Phenotype
GO:0006096	glycolytic process	Phenotype
GO:0006687	glycosphingolipid metabolic process	Phenotype
GO:0070085	glycosylation	Phenotype
GO:0098532	histone H3-K27 trimethylation	Phenotype
GO:0097043	histone H3-K56 acetylation	Phenotype
GO:0036124	histone H3-K9 trimethylation	Phenotype
GO:0034773	histone H4-K20 trimethylation	Phenotype
GO:0008137	NADH dehydrogenase (ubiquinone) activity	Phenotype
GO:1901675	negative regulation of histone H3-K27 acetylation	Phenotype
GO:1900113	negative regulation of histone H3-K9 trimethylation	Phenotype
GO:2000619	negative regulation of histone H4-K16 acetylation	Phenotype
GO:1901676	positive regulation of histone H3-K27 acetylation	Phenotype
GO:1902466	positive regulation of histone H3-K27 trimethylation	Phenotype
GO:1900114	positive regulation of histone H3-K9 trimethylation	Phenotype
GO:1901535	regulation of DNA demethylation	Phenotype
GO:0016125	sterol metabolic process	Phenotype
GO:0006099	tricarboxylic acid cycle	Phenotype
GO:0019860	uracil metabolic process	Phenotype
GO:0008306	associative learning	Phenotype
GO:1904343	positive regulation of colon smooth muscle contraction	Phenotype
GO:0060259	regulation of feeding behavior	Phenotype
GO:0070268	cornification	Phenotype
GO:0032769	negative regulation of monooxygenase activity	Phenotype
GO:0044754	autolysosome	Phenotype
GO:0055072	iron ion homeostasis	Phenotype
GO:0042308	negative regulation of protein import into nucleus	Phenotype
GO:0160020	positive regulation of ferroptosis	Phenotype
GO:1903721	positive regulation of I-kappaB phosphorylation	Phenotype
GO:0045834	positive regulation of lipid metabolic process	Phenotype
GO:1901526	positive regulation of mitophagy	Phenotype
GO:0006497	protein lipidation	Phenotype
GO:2000479	regulation of cAMP-dependent protein kinase activity	Phenotype
GO:0042752	regulation of circadian rhythm	Phenotype
GO:0009966	regulation of signal transduction	Phenotype
GO:0019432	triglyceride biosynthetic process	Phenotype
GO:0070328	triglyceride homeostasis	Phenotype
GO:0007033	vacuole organization	Phenotype
GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	Phenotype
GO:0061739	protein lipidation involved in autophagosome assembly	Phenotype
GO:0043276	anoikis	Phenotype
GO:0051901	positive regulation of mitochondrial depolarization	Phenotype
GO:0035794	positive regulation of mitochondrial membrane permeability	Phenotype
GO:0044319	wound healing, spreading of cells	Phenotype
GO:0045822	negative regulation of heart contraction	Phenotype
GO:0045019	negative regulation of nitric oxide biosynthetic process	Phenotype
GO:2001024	negative regulation of response to drug	Phenotype
GO:0003085	negative regulation of systemic arterial blood pressure	Phenotype
GO:0009308	amine metabolic process	Phenotype
GO:0050665	hydrogen peroxide biosynthetic process	Phenotype
GO:1902046	positive regulation of Fas signaling pathway	Phenotype
GO:0044861	protein transport into plasma membrane raft	Phenotype
GO:0009798	axis specification	Phenotype
GO:0007420	brain development	Phenotype
GO:0001654	eye development	Phenotype
GO:0048840	otolith development	Phenotype
GO:0045995	regulation of embryonic development	Phenotype
GO:0061053	somite development	Phenotype
GO:0001966	thigmotaxis	Phenotype
GO:0098703	calcium ion import across plasma membrane	Phenotype
GO:0006936	muscle contraction	Phenotype
GO:1902849	positive regulation of neuronal signal transduction	Phenotype
GO:0061366	behavioral response to chemical pain	Phenotype
GO:1901570	fatty acid derivative biosynthetic process	Phenotype
GO:0019395	fatty acid oxidation	Phenotype
GO:0051276	chromosome organization	Phenotype
GO:0006506	GPI anchor biosynthetic process	Phenotype
GO:0032125	micronucleus organization	Phenotype
GO:0000089	mitotic metaphase	Phenotype
GO:0009410	response to xenobiotic stimulus	Phenotype
GO:0019373	epoxygenase P450 pathway	Phenotype
GO:0098662	inorganic cation transmembrane transport	Phenotype
GO:0003104	positive regulation of glomerular filtration	Phenotype
GO:0003084	positive regulation of systemic arterial blood pressure	Phenotype
GO:0035813	regulation of renal sodium excretion	Phenotype
GO:0045333	cellular respiration	Phenotype
GO:0008610	lipid biosynthetic process	Phenotype
GO:0006656	phosphatidylcholine biosynthetic process	Phenotype
GO:0006412	translation	Phenotype
