id	name	node_type
105326107	PEPCK	Gene
10552	ARPC1A	Gene
10581	IFITM2	Gene
10592	SMC2	Gene
10594	PRPF8	Gene
10600	USP16	Gene
10615	SPAG5	Gene
10618	TGOLN2	Gene
10621	POLR3F	Gene
10642	IGF2BP1	Gene
10644	IGF2BP2	Gene
1066	CES1	Gene
10663	CXCR6	Gene
10667	FARS2	Gene
10693	CCT6B	Gene
10725	NFAT5	Gene
10765	KDM5B	Gene
10769	PLK2	Gene
10804	GJB6	Gene
10810	WASF3	Gene
10842	PPP1R17	Gene
10882	C1QL1	Gene
10893	MMP24	Gene
10904	BLCAP	Gene
10947	AP3M2	Gene
10964	IFI44L	Gene
10993	SDS	Gene
1103	CHAT	Gene
11056	DDX52	Gene
11069	RAPGEF4	Gene
11080	DNAJB4	Gene
11083	DIDO1	Gene
11100	HNRNPUL1	Gene
1112	FOXN3	Gene
11140	CDC37	Gene
11142	PKIG	Gene
111484	GSTA	Gene
11171	STRAP	Gene
111785	HSD3B	Gene
11182	SLC2A6	Gene
1120	CHKB	Gene
11224	RPL35	Gene
112398	EGLN2	Gene
11255	HRH3	Gene
11259	FILIP1L	Gene
11261	CHP1	Gene
11274	USP18	Gene
11315	PARK7	Gene
1137	CHRNA4	Gene
11522	ADH1	Gene
1154	CISH	Gene
116285	ACSM1	Gene
117581	TWIST2	Gene
1191	CLU	Gene
1200	TPP1	Gene
1213	CLTC	Gene
121551	ABTB3	Gene
1234	CCR5	Gene
1236	CCR7	Gene
123745	PLA2G4E	Gene
129807	NEU4	Gene
130074	FAM168B	Gene
13024	CTLA2A	Gene
13025	CTLA2B	Gene
130617	ZFAND2B	Gene
13086	CYP2A4	Gene
13094	CYP2B9	Gene
131408	FAM131A	Gene
1316	KLF6	Gene
1326	MAP3K8	Gene
13648	KLK1B9	Gene
1374	CPT1A	Gene
1390	CREM	Gene
1398	CRK	Gene
1401	CRP	Gene
1404	HAPLN1	Gene
1407	CRY1	Gene
140809	SRXN1	Gene
140885	SIRPA	Gene
14129	FCGR1	Gene
142	PARP1	Gene
1432	MAPK14	Gene
14325	FTL1	Gene
1435	CSF1	Gene
1437	CSF2	Gene
14381	G6PDX	Gene
1439	CSF2RB	Gene
1454	CSNK1E	Gene
1462	VCAN	Gene
146956	EME1	Gene
147	ADRA1B	Gene
1471	CST3	Gene
148479	PHF13	Gene
1491	CTH	Gene
1493	CTLA4	Gene
1499	CTNNB1	Gene
150290	DUSP18	Gene
1503	CTPS1	Gene
15081	H3F3B	Gene
15122	HBA-A1	Gene
1534	CYB561	Gene
1543	CYP1A1	Gene
1544	CYP1A2	Gene
1545	CYP1B1	Gene
1571	CYP2E1	Gene
157313	CDCA2	Gene
1582	CYP8B1	Gene
1586	CYP17A1	Gene
1610	DAO	Gene
16145	IGTP	Gene
1647	GADD45A	Gene
1660	DHX9	Gene
1676	DFFA	Gene
1687	GSDME	Gene
171023	ASXL1	Gene
17105	LYZ2	Gene
1717	DHCR7	Gene
1728	NQO1	Gene
1778	DYNC1H1	Gene
1786	DNMT1	Gene
1788	DNMT3A	Gene
1803	DPP4	Gene
181	AGRP	Gene
1843	DUSP1	Gene
1844	DUSP2	Gene
1846	DUSP4	Gene
1876	E2F6	Gene
1879	EBF1	Gene
1894	ECT2	Gene
1901	S1PR1	Gene
191	AHCY	Gene
1911	PHC1	Gene
1956	EGFR	Gene
1959	EGR2	Gene
196	AHR	Gene
1960	EGR3	Gene
196528	ARID2	Gene
197335	WDR90	Gene
1982	EIF4G2	Gene
199	AIF1	Gene
199675	MCEMP1	Gene
2002	ELK1	Gene
2015	ADGRE1	Gene
2017	CTTN	Gene
202	CRYBG1	Gene
2036	EPB41L1	Gene
205	AK4	Gene
2052	EPHX1	Gene
2057	EPOR	Gene
2067	ERCC1	Gene
2071	ERCC3	Gene
210	ALAD	Gene
2107	ETF1	Gene
212	ALAS2	Gene
2123	EVI2A	Gene
213	ALB	Gene
2152	F3	Gene
2153	F5	Gene
216	ALDH1A1	Gene
2162	F13A1	Gene
2167	FABP4	Gene
218	ALDH3A1	Gene
2180	ACSL1	Gene
2194	FASN	Gene
219931	TPCN2	Gene
