source	target	reference	reference_source
34	GO:0005739	PMID:34800366	Gene Ontology (GO) - Experimental Evidence
34	GO:0005739	PMID:-	Gene Ontology (GO) - Experimental Evidence
34	GO:0005759	PMID:16020546	Gene Ontology (GO) - Experimental Evidence
34	GO:0030424	PMID:21237683	Gene Ontology (GO) - Experimental Evidence
34	GO:0031966	PMID:16020546	Gene Ontology (GO) - Experimental Evidence
35	GO:0005634	PMID:21630459	Gene Ontology (GO) - Experimental Evidence
35	GO:0005739	PMID:34800366	Gene Ontology (GO) - Experimental Evidence
35	GO:0005739	PMID:16729965	Gene Ontology (GO) - Experimental Evidence
36	GO:0005739	PMID:34800366	Gene Ontology (GO) - Experimental Evidence
36	GO:0005739	PMID:11013134	Gene Ontology (GO) - Experimental Evidence
37	GO:0005739	PMID:34800366	Gene Ontology (GO) - Experimental Evidence
37	GO:0005739	PMID:9461620	Gene Ontology (GO) - Experimental Evidence
37	GO:0031966	PMID:16020546	Gene Ontology (GO) - Experimental Evidence
37	GO:0042645	PMID:18063578	Gene Ontology (GO) - Experimental Evidence
38	GO:0005739	PMID:34800366	Gene Ontology (GO) - Experimental Evidence
38	GO:0005739	PMID:1979337	Gene Ontology (GO) - Experimental Evidence
38	GO:0070062	PMID:19056867|PMID:23533145	Gene Ontology (GO) - Experimental Evidence
39	GO:0005737	PMID:7911016	Gene Ontology (GO) - Experimental Evidence
39	GO:0070062	PMID:23533145	Gene Ontology (GO) - Experimental Evidence
41	GO:0005886	PMID:-	Gene Ontology (GO) - Experimental Evidence
41	GO:0005886	PMID:22760635	Gene Ontology (GO) - Experimental Evidence
43	GO:0005576	PMID:1517212	Gene Ontology (GO) - Experimental Evidence
43	GO:0005794	PMID:15454088	Gene Ontology (GO) - Experimental Evidence
43	GO:0016020	PMID:16262697	Gene Ontology (GO) - Experimental Evidence
43	GO:0045202	PMID:8460160	Gene Ontology (GO) - Experimental Evidence
